review_id,product,rating,sentence
0,baggy_jeans,5.0,"Our 17-year-old is fully into the oversized jeans trend (wooo, 90’s style here we come!)."
0,baggy_jeans,5.0,He wanted these and absolutely loves them.
0,baggy_jeans,5.0,"They fit perfectly — well, perfectly for oversized 🤔."
0,baggy_jeans,5.0,Great quality and totally on-trend.
1,baggy_jeans,5.0,Love these Jeans!
1,baggy_jeans,5.0,"I got the size Med, I’m 5'1"" 128lbs."
1,baggy_jeans,5.0,"I normally wear a 28-30 waist, so they are just a little loose on my waist, but I hope they will tighten up and shrink in a hot wash and hot dryer."
1,baggy_jeans,5.0,"These are very hip-hop, cool-girl jeans."
1,baggy_jeans,5.0,They are very loose fitting everywhere and are not a stretch denim.
1,baggy_jeans,5.0,They are high-waisted.
1,baggy_jeans,5.0,The jeans have cute metal rivets on the pockets and thank god there is no dumb logo on the pocket (or I would have sent em back).
1,baggy_jeans,5.0,"Jeans are a dark'ish navy blue and a nice med-weight denim, not stiff."
1,baggy_jeans,5.0,Because I am short I will need to cut a lot off the bottom.
1,baggy_jeans,5.0,Keep in mind if you do cut a lot off the bottom they may loose their barrel leg shape.
1,baggy_jeans,5.0,Measurements for the Med.
1,baggy_jeans,5.0,"I was sent:
Jeans Front inseam -13""
Jeans Back inseam -16""
Jeans waist -34""
Jeans length from top of waistband to bottom - 44"""
2,baggy_jeans,4.0,Got mine a size up on purpose for extra sag.
2,baggy_jeans,4.0,"Good yellow stitches, shaped just like the ad pic."
2,baggy_jeans,4.0,"Keep in mind these are inexpensive so the material is nothing special, quite thin."
2,baggy_jeans,4.0,Big pockets!
2,baggy_jeans,4.0,Very roomy.
3,baggy_jeans,5.0,I know these Jeans seem kind of sketch but I think they’re really high quality.
3,baggy_jeans,5.0,They sit nicely on your waist and the baggy fit is what I wanted.
3,baggy_jeans,5.0,It was still a bit too big on me and I am 5’4 and 125 pounds so I went from a small to extra small.
3,baggy_jeans,5.0,I would buy these pants again.
3,baggy_jeans,5.0,The only thing I don’t like is they claim to have a newer brand that doesn’t have the yellow embroidery but mine did.
3,baggy_jeans,5.0,It doesn’t bother me that much but maybe for others it does.
4,baggy_jeans,5.0,Absolutely Love these jeans!!
4,baggy_jeans,5.0,Perfectly fit me the way I wanted them too.
4,baggy_jeans,5.0,Good quality jeans too!
5,baggy_jeans,5.0,Absolutely luv these jeans!
5,baggy_jeans,5.0,Nice weight to them.
5,baggy_jeans,5.0,Good length.
5,baggy_jeans,5.0,I am 68 years old.
5,baggy_jeans,5.0,"5'2, 132lbs and purchased a Medium."
5,baggy_jeans,5.0,Roughly a 30in waist
6,baggy_jeans,5.0,I got these for my daughter.
6,baggy_jeans,5.0,Love the way she looks in them.
6,baggy_jeans,5.0,I also tell she loves them.
7,baggy_jeans,1.0,Qualité top par contre vous pouvez enlever 10 cm en bas !
7,baggy_jeans,1.0,Heureusement que ça plaît à ma fille car ne vas pas du tt jusqu en bas !
7,baggy_jeans,1.0,La photo n est pas conforme !
8,baggy_jeans,1.0,The jeans were four sizes smaller than the measurements on the size guide.
8,baggy_jeans,1.0,Ordered a large.
8,baggy_jeans,1.0,They are an extra small.
8,baggy_jeans,1.0,The zipper did not work.
8,baggy_jeans,1.0,They have to be returned to China which will cost more than the item.
8,baggy_jeans,1.0,So I am stuck with a useless pair of cheap Chinese jeans.
9,baggy_jeans,,Modèle très chouette mais taille non conforme.
9,baggy_jeans,,"Hélas là où il devrait mesurer 106cm de longueur, il n'en fait que 95 pour un S !"
9,baggy_jeans,,De même la taille est bien inférieure.
9,baggy_jeans,,Donc beaucoup trop court et trop petit
